Skills set,Course categories ,Order ,Course Name,Lessons ,Projects,Quizzes ,Total Times ,Course Description 
,Foundation skills,,Foundation skills 3,,,,14h ,"for ages 11-12 deepens understanding of computational thinking, data representation, and digital ethics. With diverse adventures, students explore game design, digital media, online security, and data analysis. Engage, analyze, and innovate in this immersive tech journey!"
,,,Modules :,,,,,
,,1,Computational Thinking 300,1 hr ,-,-,1 hr,Join Tilley and Charlie as they decorate the Food Avengers restaurant using algorithms.
,,2,Computational Thinking 3,4 hrs,-,-,4 hrs,"Tilley and Charlie’s dad recently started a restaurant called Food Avengers. However, there are concerns that the restaurant's high-tech waiter robot called Ross is actually a health and safety hazard! While Dad is at a business conference, Tilley comes up with an audacious plan to turn things around and make Food Avengers a big success. Together, Charlie and Tilley make many positive changes to the restaurant, but will it be enough?"
,,3,Impacts of Computing 300,1 hr ,-,-,1 hr,Join Sakura and Niko as they learn about security and hacking.
,,4,Digital Media 300,1 hr ,-,-,1 hr,Join Charlie and Tilley as they design a sport-themed platform game for Lucy's birthday.
,,5,Data Representation 200,1 hr ,-,-,1 hr,"Join Cody and Ava as they learn about Data Representation using a fun and interactive DJ Device. Discover how your name can be represented using numbers, images and sound while creating your very own colorful musical melody!"
,,6,JavaScript 103,1 hr ,-,-,1 hr,"Drawing with JavaScript is easier than you might think. Learn more about the flags of the world as each level increases in complexity. Learn about shapes, coordinates, colors as well as the importance of sequence in coding."
,,7,JavaScript 105,1 hr ,-,-,1 hr,"This is your first step on the way to becoming a game development master. This course will gently guide you through building a simple 2D top-down game you can play with your friends. Along the way, you’ll learn about coordinates and hunt bugs as you prepare for the more complex work to come."
,,8,Impacts of Computing 600,1 hr ,-,-,1 hr,"AVATAR is the latest interactive attraction at ThrillVille theme park. Sakura and Niko can't wait to visit it and experience the world of tomorrow! Join Sakura and Niko as they learn about data, digital footprints, the Internet of things, Big Data, and the implications these have for us as people, and our future."
,,9,Networks & Security 600,1 hr ,-,-,1 hr,"Join Max and his friends at the skate park. Felix posts a seemingly innocent photo of Juno on social media, that she desperately wants to have removed. Max, who has a spy movie obsession, is quick to turn the situation into a secret mission. Join them as they learn about cloud computing and track down the photo on a server, stored in an ultra-secure data center. Is there any way to locate and destroy the photo?"
,,10,Data and Analysis 60,2 hrs,-,-,2 hrs,"Collect, analyze and present data using Google Forms and Sheets."
,,,,,,,,
,Foundation skills,,Foundation skills 4,,,,15h,"for ages 12-13 bridges the world of coding and creativity. Dive into HTML/CSS design, master foundational algorithms, explore the intricacies of JavaScript and Python, and unravel the mysteries of data representation. Craft, code, and conquer challenges in this dynamic tech course!"
,,,,,,,,
,,,Modules :,,,,,
,,1,HTML/CSS 101,1 hr,-,-,1 hr,"Starting to learn HTML and CSS is easy and fun with this digital postcard. Learn about adding headings, paragraphs, images, and links to create a holiday card or birthday celebration to share with friends and family."
,,2,Algorithms 0,3 hrs,-,15 mins,3 hrs 15 mins,"Algorithms are the steps we use to solve problems, so they are a really important part of programming and computer science. In this course you'll learn about what algorithms are, how to create them, different types of algorithms, and how to determine the best algorithm to use for particular problem."
,,3,JavaScript 0,2 hrs,2 hrs ,-,4 hrs,"Want to build your own apps and games? Start here! With Code Avengers' comprehensive JavaScript courses you'll learn one of the most widely used languages, and build lots of fun apps and games along the way."
,,4,Data Representation 400,1 hr,-,-,1 hr,"Join Tyrell and Marlee as they learn about binary numbers, light, color and more while trying to escape from Professor Photon's Color Conundrum"
,,5,Python 100,1 hr,-,-,1 hr,"Python is an engaging and simple language to learn. Learn about using modules, functions, loops, and lists, all while creating fun images with the help of your turtle buddies. Geometry has never been so much fun!"
,,6,Python 0,2 hrs,2 hrs ,-,4 hrs,"Use a range of Python skills such as input, output, variables, if statements, turtles and loops to build a basic program."
,,,,,,,,
,Foundation skills,,Foundation skills 5,,,,13h,"for ages 13-14 unveils the digital world's intricacies. Journey with Juno, Max, and others, diving into networks, mastering advanced programming, exploring future tech impacts, and crafting dynamic web applications using JavaScript and jQuery. Unlock the digital realm's potential in this engaging course!"
,,,,,,,,
,,,Modules :,,,,,
,,3,Digital Infrastructure 4,3 hrs,-,-,3 hrs,"Join Juno and Max as they follow the data trail of a mysterious message appearing on their high school’s network system and Principal’s cell phone. Learn about network components and the characteristics and communication rules of cellular networks, as you investigate along with them to unravel the message."
,,1,Programming 4,3 hrs,-,-,3 hrs,"The school production starts in 2 days, but there’s been a disaster! Will you be able to help Alex and Lonnie to use their programming skills to solve all of the challenges that come up? You’ll learn about animating scenes using loops and user input, creating apps that respond to mouse clicks, and more. The show must go on!"
,,2,Impacts of Computing 400,1 hr,-,-,1 hr,"Join Sakura and Niko as they learn about how artificial intelligence, drones, and other digital technologies are used on the farms of the future, today."
,,4,JavaScript 110,1 hr,-,-,1 hr,"Want to build your own apps and games? Start here! With Code Avengers' comprehensive JavaScript courses you'll learn one of the most widely used languages, and build lots of fun apps and games along the way."
,,5,Web Development 100,1 hr,-,-,1 hr,"This challenging and exciting project will teach you how to create a Photo Booth app. Using JavaScript, CSS, and HTML, you will connect buttons that let you use a camera, upload images, and customize your photos by inserting stickers and applying filters."
,,6,Web Development 0,3 hrs,-,-,3 hrs,"Using the skills you’ve learned from our other intro courses, learn how to use HTML, CSS and JavaScript together in one project. Make a ringer app, a quiz using variables to keep score, and turn your phone into a musical instrument by building a xylophone app!"
,,7,jQuery 0,1 hr,-,-,1 hr,"An essential part of web development is making sites dynamic and interactive. Good thing there's jQuery - a JavaScript library that makes it easy! jQuery lets you write JavaScript tasks in a much more quick and simple way. Just ask Google, Microsoft and Netflix, who all use it. Start learning today, the Code Avengers way!"
